	direction	thresh	280_TASK01_CON07	280_TASK01_CON08	280_TASK01_CON09	280_TASK02_CON25	280_TASK02_CON26	280_TASK02_CON27	280_TASK03_CON19	280_TASK03_CON20	280_TASK03_CON22	280_TASK04_CON61	280_TASK04_CON62	280_TASK04_CON63	280_TASK04_CON64	280_TASK04_CON65	280_TASK04_CON66	280_TASK04_CON67	280_TASK04_CON68	280_TASK04_CON69	280_TASK04_CON70	280_TASK04_CON71	280_TASK04_CON72	280_TASK04_CON73	280_TASK05_CON13	280_TASK05_CON14	280_TASK05_CON15	280_TASK06_CON01	280_TASK06_CON02	280_TASK06_CON06	280_TASK07_CON31	280_TASK07_CON32	280_TASK07_CON33	280_TASK07_CON34	280_TASK07_CON35	280_TASK07_CON36	280_TASK07_CON37	280_TASK07_CON38	280_TASK07_CON39	280_TASK07_CON40	280_TASK07_CON41	280_TASK07_CON45	280_TASK07_CON46	280_TASK07_CON47	280_TASK07_CON48	280_TASK07_CON49	280_TASK07_CON50	280_TASK07_CON51	280_TASK07_CON52
280_TASK01_CON07_0.0_posneg	posneg	0.0	0.889561295509	0.805524408817	0.438430905342	0.704701244831	0.698395013809	-0.215961828828	0.38123139739	0.222246363759	-0.159987568855	0.51395457983	0.124441154301	0.178526595235	0.139377236366	0.231793031096	0.154115378857	0.188321888447	0.467635631561	-0.0347805134952	-0.0602403432131	-0.0606326051056	0.0802980810404	0.0708714425564	0.759063601494	0.717726767063	-0.145558059216	0.607627391815	0.586562335491	0.246517732739	0.687879085541	0.612101376057	0.603288829327	0.72836369276	0.756461977959	0.728551566601	0.703509747982	0.741408467293	0.67818403244	0.760541081429	0.0504086539149	0.730072021484	0.676923453808	0.652490854263	0.740721225739	-0.00490450998768	-0.35634842515	0.0675658285618	0.329604148865
280_TASK01_CON07_0.0_pos	pos	0.0	0.838125646114	0.753154933453	0.453356802464	0.669124543667	0.658357799053	-0.278381258249	0.231750577688	0.0953875109553	-0.117985218763	0.484546124935	0.0416596010327	0.121375672519	0.0525926016271	0.145754516125	0.0695355534554	0.0923042446375	0.476477175951	-0.0488281361759	-0.00864154845476	-0.06810978055	0.0934538394213	0.0284216403961	0.703836679459	0.663818180561	-0.123397544026	0.564555764198	0.52975165844	0.216086059809	0.651130437851	0.579595029354	0.593976974487	0.683452069759	0.729373455048	0.698957026005	0.691394746304	0.725450992584	0.632956385612	0.717689752579	-0.020163057372	0.684695363045	0.633796393871	0.631102919579	0.695046305656	-0.0617433786392	-0.380180686712	0.135385319591	0.324163079262
280_TASK01_CON07_1.0_posneg	posneg	1.0	0.885212600231	0.801690578461	0.437527269125	0.702910244465	0.696320295334	-0.217831969261	0.374164104462	0.218730971217	-0.15557217598	0.512005865574	0.121008701622	0.175858929753	0.135974109173	0.228411287069	0.150031790137	0.183899879456	0.46716183424	-0.0345247089863	-0.0575982406735	-0.0602656453848	0.0816391184926	0.0681258961558	0.754951894283	0.713989496231	-0.14552654326	0.604625225067	0.583425998688	0.245923519135	0.686337172985	0.610677242279	0.602599263191	0.726689457893	0.755993902683	0.727507472038	0.702448129654	0.740385591984	0.675770819187	0.75817501545	0.0475999712944	0.728378474712	0.674866199493	0.650869309902	0.738407552242	-0.00601963186637	-0.357316255569	0.0693361163139	0.329308331013
280_TASK01_CON07_1.0_pos	pos	1.0	0.822007715702	0.73794400692	0.447618335485	0.657840490341	0.647077083588	-0.281631857157	0.214425802231	0.0813994929194	-0.113170042634	0.476720929146	0.0337198749185	0.114317387342	0.0441891811788	0.13715210557	0.0611357092857	0.0824070721865	0.472316533327	-0.0490300357342	-0.00477962801233	-0.0681603327394	0.0947470292449	0.0242266617715	0.68989276886	0.650521278381	-0.119418904185	0.554079592228	0.518745481968	0.211171224713	0.640285015106	0.569630503654	0.585974752903	0.670998990536	0.71848911047	0.687859177589	0.681218624115	0.714791059494	0.621237695217	0.705061674118	-0.0239388905466	0.672870874405	0.622391700745	0.621289014816	0.68226647377	-0.063457198441	-0.376959979534	0.138383924961	0.317681163549
280_TASK01_CON07_2.0_posneg	posneg	2.0	0.855079472065	0.774996340275	0.431573003531	0.684148907661	0.675083935261	-0.223087012768	0.332672983408	0.194537043571	-0.133570417762	0.496876060963	0.0999101698399	0.157649770379	0.112701319158	0.203342288733	0.124602548778	0.155810788274	0.461679130793	-0.0315635092556	-0.0417123027146	-0.0588313005865	0.0857869833708	0.0520043298602	0.725069701672	0.686066329479	-0.143767371774	0.582030594349	0.557800292969	0.236397221684	0.667761981487	0.594519436359	0.588919997215	0.707565784454	0.741479218006	0.710780084133	0.686739385128	0.724157094955	0.653015613556	0.733454585075	0.0294915437698	0.707498371601	0.653581380844	0.631490826607	0.715460717678	-0.0157274771482	-0.35834980011	0.0794434398413	0.326831072569
280_TASK01_CON07_2.0_pos	pos	2.0	0.782263875008	0.702719867229	0.434186786413	0.630110859871	0.617541611195	-0.285625576973	0.173721253872	0.0540296398103	-0.0952018201351	0.454950720072	0.0114912986755	0.0957602635026	0.0203756578267	0.111412987113	0.0362406075001	0.0544029660523	0.459824681282	-0.0492641963065	0.0104603534564	-0.0674122571945	0.0970994010568	0.0101560363546	0.654236793518	0.617046535015	-0.113981634378	0.52417498827	0.486003577709	0.197204574943	0.613807439804	0.546437740326	0.566414773464	0.643335163593	0.693999707699	0.661555886269	0.658644795418	0.69116717577	0.591981887817	0.673255980015	-0.0407833307981	0.6435354352	0.59373909235	0.596632421017	0.652173161507	-0.0741542875767	-0.374600142241	0.149593412876	0.311681509018
280_TASK01_CON07_3.0_posneg	posneg	3.0	0.784410476685	0.71252900362	0.417269766331	0.632840156555	0.61985462904	-0.22669968009	0.249050825834	0.148214489222	-0.0882577523589	0.456050544977	0.0624037757516	0.122496619821	0.067362755537	0.150063633919	0.0784071683884	0.105124764144	0.437426358461	-0.0267976839095	-0.0102560035884	-0.058364097029	0.0836127772927	0.0241775289178	0.652789354324	0.61773455143	-0.135482043028	0.524861812592	0.496017962694	0.213717892766	0.613548636436	0.545825242996	0.546251177788	0.653157949448	0.694430470467	0.66065955162	0.638938784599	0.677088558674	0.593208909035	0.669456779957	-0.0164769161493	0.648545444012	0.595217168331	0.578438878059	0.655316650867	-0.0385112352669	-0.356569170952	0.0968778431416	0.324799150229
280_TASK01_CON07_3.0_pos	pos	3.0	0.723256587982	0.651971399784	0.417908638716	0.584101200104	0.567687511444	-0.274122238159	0.123654134572	0.0370633341372	-0.0573926270008	0.414536088705	-0.0124659044668	0.073347479105	-0.00861149094999	0.0730985701084	0.00635298993438	0.0218339767307	0.428171277046	-0.0468601994216	0.0343891084194	-0.0654820501804	0.0911144837737	-0.00816200580448	0.593597471714	0.559993743896	-0.108323551714	0.473766088486	0.43351945281	0.178350150585	0.565266191959	0.503743648529	0.525855839252	0.597001314163	0.649593889713	0.616168141365	0.616625785828	0.647379517555	0.540615737438	0.618193507195	-0.0774182975292	0.591364145279	0.543152868748	0.549953460693	0.600985825062	-0.0926175266504	-0.369508743286	0.159877046943	0.313100278378
280_TASK01_CON07_4.0_posneg	posneg	4.0	0.681908428669	0.618889868259	0.398626714945	0.549860537052	0.534005820751	-0.22305649519	0.142611727118	0.0955665707588	-0.0243301037699	0.387933552265	0.0154354507104	0.0855955332518	0.0132766366005	0.0742736160755	0.0239726342261	0.0428763926029	0.389992982149	-0.025009540841	0.0349460840225	-0.0544524379075	0.0634573474526	-0.00264920573682	0.548597872257	0.520200848579	-0.128550946712	0.446855068207	0.415770053864	0.184719964862	0.529131948948	0.469731748104	0.478074759245	0.565088033676	0.611934125423	0.580176830292	0.563063681126	0.596710383892	0.504980862141	0.573067009449	-0.0776572078466	0.556142032146	0.507696092129	0.499456316233	0.561996936798	-0.0712871924043	-0.34020370245	0.118302367628	0.30860131979
280_TASK01_CON07_4.0_pos	pos	4.0	0.646308004856	0.583457708359	0.399363875389	0.522015571594	0.50328874588	-0.246171042323	0.0714195296168	0.0312559604645	-0.00867202691734	0.358861654997	-0.0287450570613	0.055871732533	-0.0288454890251	0.0297323744744	-0.0198218412697	-0.00645557744429	0.379879504442	-0.0367983207107	0.0600199699402	-0.0533045493066	0.0698809474707	-0.0236032418907	0.515226840973	0.487680107355	-0.112708389759	0.415545523167	0.377558261156	0.162268772721	0.500871002674	0.447697728872	0.469617575407	0.532659173012	0.583983719349	0.55366319418	0.555487513542	0.581654012203	0.475538343191	0.545163631439	-0.114915974438	0.521781265736	0.478555768728	0.487583249807	0.531603932381	-0.111835621297	-0.34999525547	0.164198979735	0.304094314575
