	direction	thresh	30_TASK01_CON07	30_TASK01_CON08	30_TASK01_CON09	30_TASK02_CON25	30_TASK02_CON26	30_TASK02_CON27	30_TASK03_CON19	30_TASK03_CON20	30_TASK03_CON22	30_TASK04_CON61	30_TASK04_CON62	30_TASK04_CON63	30_TASK04_CON64	30_TASK04_CON65	30_TASK04_CON66	30_TASK04_CON67	30_TASK04_CON68	30_TASK04_CON69	30_TASK04_CON70	30_TASK04_CON71	30_TASK04_CON72	30_TASK04_CON73	30_TASK05_CON13	30_TASK05_CON14	30_TASK05_CON15	30_TASK06_CON01	30_TASK06_CON02	30_TASK06_CON06	30_TASK07_CON31	30_TASK07_CON32	30_TASK07_CON33	30_TASK07_CON34	30_TASK07_CON35	30_TASK07_CON36	30_TASK07_CON37	30_TASK07_CON38	30_TASK07_CON39	30_TASK07_CON40	30_TASK07_CON41	30_TASK07_CON45	30_TASK07_CON46	30_TASK07_CON47	30_TASK07_CON48	30_TASK07_CON49	30_TASK07_CON50	30_TASK07_CON51	30_TASK07_CON52
30_TASK01_CON07_0.0_posneg	posneg	0.0	0.875348448753	0.793248057365	0.4603484869	0.726410329342	0.725139379501	-0.203703477979	0.36192625761	0.21633194387	-0.145448893309	0.453839272261	0.0939639210701	0.197685986757	0.154930502176	0.257796436548	0.087805904448	0.170323640108	0.407213300467	-0.0740037560463	0.00206543784589	0.0229406170547	0.121821977198	0.00221036071889	0.729730188847	0.705083549023	-0.145020037889	0.581353247166	0.593528628349	0.3010417521	0.680276215076	0.595042347908	0.59916728735	0.695053040981	0.733861625195	0.703527748585	0.700912415981	0.72011500597	0.66353815794	0.750733137131	0.0528800487518	0.718323886395	0.657711088657	0.653801262379	0.717337727547	-0.0838695690036	-0.377063542604	0.158428996801	0.286026269197
30_TASK01_CON07_0.0_pos	pos	0.0	0.841612040997	0.7034907341	0.448003798723	0.65761077404	0.651520609856	-0.323335289955	0.00504078343511	-0.0257585681975	0.0180376786739	0.459288269281	-0.10051291436	0.021670492366	-0.0574702806771	0.00119636312593	-0.118354305625	-0.0719702243805	0.476339459419	-0.0927192866802	0.123614102602	0.0293169114739	0.108218453825	-0.126119598746	0.645349562168	0.622667789459	-0.106228724122	0.512865483761	0.483297556639	0.198181524873	0.611707389355	0.51974272728	0.557867288589	0.629113376141	0.692516863346	0.653332650661	0.66142308712	0.67976808548	0.583382308483	0.682473421097	-0.185260489583	0.647660017014	0.571307301521	0.598906338215	0.643251299858	-0.204192206264	-0.391372323036	0.276852965355	0.260552078485
30_TASK01_CON07_1.0_posneg	posneg	1.0	0.912891328335	0.840885400772	0.509395837784	0.792561888695	0.791566610336	-0.231076270342	0.433791309595	0.281972676516	-0.177207633853	0.523225665092	0.118119761348	0.234600618482	0.187927305698	0.300240784883	0.114345937967	0.207264363766	0.469410926104	-0.0843739807606	0.000205163989449	0.0244857631624	0.141584724188	0.00876771565527	0.796535372734	0.773386418819	-0.175433322787	0.649975895882	0.665964007378	0.346792191267	0.747803509235	0.66327214241	0.665567696095	0.761210024357	0.794727504253	0.760366141796	0.757418036461	0.779150128365	0.734293103218	0.809515833855	0.0678216293454	0.783926904202	0.72343403101	0.717674195766	0.781821370125	-0.0900720655918	-0.41842982173	0.170836940408	0.328813910484
30_TASK01_CON07_1.0_pos	pos	1.0	0.838278353214	0.67740303278	0.440338075161	0.648149847984	0.635758757591	-0.302667230368	-0.0808564573526	-0.0198651645333	0.108401961625	0.42061829567	-0.126752391458	-0.0121602555737	-0.105770543218	-0.0585911460221	-0.152877539396	-0.1182352826	0.446937859058	-0.0654756650329	0.176135480404	0.0134954573587	0.0862899422646	-0.153080374002	0.607524752617	0.587893426418	-0.136397898197	0.465130150318	0.424358934164	0.165040656924	0.591687679291	0.492046773434	0.528470873833	0.611566185951	0.678812265396	0.63195258379	0.636245727539	0.659560024738	0.556471168995	0.652969956398	-0.255104124546	0.625741541386	0.536856770515	0.565570414066	0.617271840572	-0.230112850666	-0.366261035204	0.276612430811	0.26432877779
30_TASK01_CON07_2.0_posneg	posneg	2.0	0.945576786995	0.884673237801	0.556301116943	0.855552434921	0.854211986065	-0.251278162003	0.530256867409	0.411316454411	-0.187057778239	0.599776804447	0.149160817266	0.27259477973	0.226833850145	0.34936979413	0.159043893218	0.254105478525	0.537932813168	-0.0980958268046	-0.0057593844831	0.0211569871753	0.166899546981	0.0235951095819	0.858704149723	0.838745892048	-0.223593607545	0.719585299492	0.737063646317	0.402135074139	0.815200686455	0.733579337597	0.732739508152	0.826941609383	0.85315567255	0.815704405308	0.808961451054	0.835649013519	0.804822146893	0.863745331764	0.0745707452297	0.846953451633	0.788504958153	0.778858244419	0.843742787838	-0.100891403854	-0.457645624876	0.178931325674	0.378900557756
30_TASK01_CON07_2.0_pos	pos	2.0	0.822283446789	0.625912725925	0.433563172817	0.611034870148	0.59422326088	-0.24313159287	-0.150545626879	0.0356063321233	0.216525048018	0.347192078829	-0.122547730803	-0.0232561472803	-0.121750861406	-0.102175578475	-0.15013256669	-0.130827620625	0.378794580698	-0.0277198459953	0.210192650557	0.00213670241646	0.0333499908447	-0.143817916512	0.539489269257	0.525077223778	-0.187905102968	0.39084520936	0.338486105204	0.123850345612	0.541795730591	0.438091903925	0.459451645613	0.565722286701	0.633728921413	0.58505833149	0.576605439186	0.606516838074	0.499623209238	0.593474388123	-0.317129433155	0.5721154809	0.474835336208	0.496665358543	0.561439454556	-0.243893876672	-0.284274101257	0.241334214807	0.238881140947
30_TASK01_CON07_3.0_posneg	posneg	3.0	0.965152978897	0.910995841026	0.590578496456	0.899275243282	0.897266030312	-0.24509781599	0.6197463274	0.587287008762	-0.141555503011	0.658897817135	0.184518694878	0.294446647167	0.27083748579	0.393469780684	0.214201450348	0.298004716635	0.586387276649	-0.0954333692789	-0.0189727768302	0.0319137126207	0.187327995896	0.0486344844103	0.898256957531	0.881787657738	-0.285266399384	0.769299507141	0.784449517727	0.442738503218	0.864684224129	0.786236166954	0.77832698822	0.874826848507	0.890477180481	0.851992607117	0.838559687138	0.872532784939	0.856333971024	0.897966682911	0.0692508965731	0.890198469162	0.835364937782	0.817537128925	0.886654496193	-0.110073693097	-0.4626121521	0.169837087393	0.403882861137
30_TASK01_CON07_3.0_pos	pos	3.0	0.784674584866	0.560824871063	0.380821317434	0.555205106735	0.53799289465	-0.169689312577	-0.157258942723	0.105287507176	0.25362598896	0.281030267477	-0.0756821781397	-0.0081722708419	-0.0707873702049	-0.0617640279233	-0.0909151658416	-0.077525831759	0.298284500837	-0.0255384240299	0.154055327177	0.0166880637407	0.0194223374128	-0.0983477905393	0.466420888901	0.445682585239	-0.18233807385	0.315730988979	0.2550303936	0.0735988244414	0.488321781158	0.385086596012	0.381255567074	0.512168765068	0.562309861183	0.535641074181	0.490498095751	0.532757282257	0.445270866156	0.52199280262	-0.317076206207	0.507770657539	0.421179175377	0.415393263102	0.49975591898	-0.222644969821	-0.153457701206	0.166068688035	0.180892765522
30_TASK01_CON07_4.0_posneg	posneg	4.0	0.972815454006	0.917762577534	0.587032735348	0.922691345215	0.920974671841	-0.215093910694	0.643683791161	0.693361461163	-0.0639022886753	0.683335900307	0.201878234744	0.288383513689	0.305852085352	0.426522701979	0.247574225068	0.317989915609	0.601231098175	-0.0897499546409	-0.0414701513946	0.0676015764475	0.221545934677	0.0687950775027	0.915462970734	0.901842415333	-0.334987342358	0.787962853909	0.801220059395	0.454436302185	0.888795852661	0.810429811478	0.796946227551	0.899487674236	0.905052006245	0.861117064953	0.846238195896	0.889781713486	0.883219718933	0.910979509354	0.0651046186686	0.909852385521	0.854374170303	0.83251863718	0.908497095108	-0.102871179581	-0.431890308857	0.135527089238	0.39299890399
30_TASK01_CON07_4.0_pos	pos	4.0	0.712210774422	0.461204588413	0.33234718442	0.473516315222	0.460048258305	-0.0711168572307	-0.0851722881198	0.163874238729	0.190926626325	0.216065391898	-0.00524502573535	0.0348367244005	0.0260386168957	0.0224534198642	0.0172815863043	0.0181405618787	0.195594578981	-0.0589214935899	0.0367805957794	0.0353626273572	0.0100706899539	-0.0107356598601	0.384147614241	0.354968935251	-0.129614710808	0.236075133085	0.187286302447	0.038645144552	0.41522693634	0.343547016382	0.29793843627	0.439800649881	0.456302374601	0.46955242753	0.372790962458	0.42065563798	0.383969962597	0.426671653986	-0.230051442981	0.424336433411	0.378493368626	0.321680814028	0.417701750994	-0.179166033864	0.0205355584621	0.0712627395988	0.0742630660534
