	direction	thresh	54_TASK01_CON07	54_TASK01_CON08	54_TASK01_CON09	54_TASK02_CON25	54_TASK02_CON26	54_TASK02_CON27	54_TASK03_CON19	54_TASK03_CON20	54_TASK03_CON22	54_TASK04_CON61	54_TASK04_CON62	54_TASK04_CON63	54_TASK04_CON64	54_TASK04_CON65	54_TASK04_CON66	54_TASK04_CON67	54_TASK04_CON68	54_TASK04_CON69	54_TASK04_CON70	54_TASK04_CON71	54_TASK04_CON72	54_TASK04_CON73	54_TASK05_CON13	54_TASK05_CON14	54_TASK05_CON15	54_TASK06_CON01	54_TASK06_CON02	54_TASK06_CON06	54_TASK07_CON31	54_TASK07_CON32	54_TASK07_CON33	54_TASK07_CON34	54_TASK07_CON35	54_TASK07_CON36	54_TASK07_CON37	54_TASK07_CON38	54_TASK07_CON39	54_TASK07_CON40	54_TASK07_CON41	54_TASK07_CON45	54_TASK07_CON46	54_TASK07_CON47	54_TASK07_CON48	54_TASK07_CON49	54_TASK07_CON50	54_TASK07_CON51	54_TASK07_CON52
54_TASK01_CON07_0.0_posneg	posneg	0.0	228286.0	228286.0	228286.0	228286.0	228286.0	228286.0	228286.0	228286.0	228286.0	228286.0	228286.0	228286.0	228286.0	228286.0	228286.0	228286.0	228286.0	228286.0	228286.0	228286.0	228286.0	228286.0	228286.0	228286.0	228286.0	228286.0	228286.0	228286.0	228286.0	228286.0	228286.0	228286.0	228286.0	228286.0	228286.0	228286.0	228286.0	228286.0	228286.0	228286.0	228286.0	228286.0	228286.0	228286.0	228286.0	228286.0	228286.0
54_TASK01_CON07_0.0_pos	pos	0.0	117521.0	117521.0	117521.0	117521.0	117521.0	117521.0	117521.0	117521.0	117521.0	117521.0	117521.0	117521.0	117521.0	117521.0	117521.0	117521.0	117521.0	117521.0	117521.0	117521.0	117521.0	117521.0	117521.0	117521.0	117521.0	117521.0	117521.0	117521.0	117521.0	117521.0	117521.0	117521.0	117521.0	117521.0	117521.0	117521.0	117521.0	117521.0	117521.0	117521.0	117521.0	117521.0	117521.0	117521.0	117521.0	117521.0	117521.0
54_TASK01_CON07_1.0_posneg	posneg	1.0	152725.0	152725.0	152725.0	152725.0	152725.0	152725.0	152725.0	152725.0	152725.0	152725.0	152725.0	152725.0	152725.0	152725.0	152725.0	152725.0	152725.0	152725.0	152725.0	152725.0	152725.0	152725.0	152725.0	152725.0	152725.0	152725.0	152725.0	152725.0	152725.0	152725.0	152725.0	152725.0	152725.0	152725.0	152725.0	152725.0	152725.0	152725.0	152725.0	152725.0	152725.0	152725.0	152725.0	152725.0	152725.0	152725.0	152725.0
54_TASK01_CON07_1.0_pos	pos	1.0	81010.0	81010.0	81010.0	81010.0	81010.0	81010.0	81010.0	81010.0	81010.0	81010.0	81010.0	81010.0	81010.0	81010.0	81010.0	81010.0	81010.0	81010.0	81010.0	81010.0	81010.0	81010.0	81010.0	81010.0	81010.0	81010.0	81010.0	81010.0	81010.0	81010.0	81010.0	81010.0	81010.0	81010.0	81010.0	81010.0	81010.0	81010.0	81010.0	81010.0	81010.0	81010.0	81010.0	81010.0	81010.0	81010.0	81010.0
54_TASK01_CON07_2.0_posneg	posneg	2.0	95373.0	95373.0	95373.0	95373.0	95373.0	95373.0	95373.0	95373.0	95373.0	95373.0	95373.0	95373.0	95373.0	95373.0	95373.0	95373.0	95373.0	95373.0	95373.0	95373.0	95373.0	95373.0	95373.0	95373.0	95373.0	95373.0	95373.0	95373.0	95373.0	95373.0	95373.0	95373.0	95373.0	95373.0	95373.0	95373.0	95373.0	95373.0	95373.0	95373.0	95373.0	95373.0	95373.0	95373.0	95373.0	95373.0	95373.0
54_TASK01_CON07_2.0_pos	pos	2.0	54739.0	54739.0	54739.0	54739.0	54739.0	54739.0	54739.0	54739.0	54739.0	54739.0	54739.0	54739.0	54739.0	54739.0	54739.0	54739.0	54739.0	54739.0	54739.0	54739.0	54739.0	54739.0	54739.0	54739.0	54739.0	54739.0	54739.0	54739.0	54739.0	54739.0	54739.0	54739.0	54739.0	54739.0	54739.0	54739.0	54739.0	54739.0	54739.0	54739.0	54739.0	54739.0	54739.0	54739.0	54739.0	54739.0	54739.0
54_TASK01_CON07_3.0_posneg	posneg	3.0	56942.0	56942.0	56942.0	56942.0	56942.0	56942.0	56942.0	56942.0	56942.0	56942.0	56942.0	56942.0	56942.0	56942.0	56942.0	56942.0	56942.0	56942.0	56942.0	56942.0	56942.0	56942.0	56942.0	56942.0	56942.0	56942.0	56942.0	56942.0	56942.0	56942.0	56942.0	56942.0	56942.0	56942.0	56942.0	56942.0	56942.0	56942.0	56942.0	56942.0	56942.0	56942.0	56942.0	56942.0	56942.0	56942.0	56942.0
54_TASK01_CON07_3.0_pos	pos	3.0	36663.0	36663.0	36663.0	36663.0	36663.0	36663.0	36663.0	36663.0	36663.0	36663.0	36663.0	36663.0	36663.0	36663.0	36663.0	36663.0	36663.0	36663.0	36663.0	36663.0	36663.0	36663.0	36663.0	36663.0	36663.0	36663.0	36663.0	36663.0	36663.0	36663.0	36663.0	36663.0	36663.0	36663.0	36663.0	36663.0	36663.0	36663.0	36663.0	36663.0	36663.0	36663.0	36663.0	36663.0	36663.0	36663.0	36663.0
54_TASK01_CON07_4.0_posneg	posneg	4.0	32942.0	32942.0	32942.0	32942.0	32942.0	32942.0	32942.0	32942.0	32942.0	32942.0	32942.0	32942.0	32942.0	32942.0	32942.0	32942.0	32942.0	32942.0	32942.0	32942.0	32942.0	32942.0	32942.0	32942.0	32942.0	32942.0	32942.0	32942.0	32942.0	32942.0	32942.0	32942.0	32942.0	32942.0	32942.0	32942.0	32942.0	32942.0	32942.0	32942.0	32942.0	32942.0	32942.0	32942.0	32942.0	32942.0	32942.0
54_TASK01_CON07_4.0_pos	pos	4.0	24231.0	24231.0	24231.0	24231.0	24231.0	24231.0	24231.0	24231.0	24231.0	24231.0	24231.0	24231.0	24231.0	24231.0	24231.0	24231.0	24231.0	24231.0	24231.0	24231.0	24231.0	24231.0	24231.0	24231.0	24231.0	24231.0	24231.0	24231.0	24231.0	24231.0	24231.0	24231.0	24231.0	24231.0	24231.0	24231.0	24231.0	24231.0	24231.0	24231.0	24231.0	24231.0	24231.0	24231.0	24231.0	24231.0	24231.0
54_TASK01_CON07_5.0_posneg	posneg	5.0	17804.0	17804.0	17804.0	17804.0	17804.0	17804.0	17804.0	17804.0	17804.0	17804.0	17804.0	17804.0	17804.0	17804.0	17804.0	17804.0	17804.0	17804.0	17804.0	17804.0	17804.0	17804.0	17804.0	17804.0	17804.0	17804.0	17804.0	17804.0	17804.0	17804.0	17804.0	17804.0	17804.0	17804.0	17804.0	17804.0	17804.0	17804.0	17804.0	17804.0	17804.0	17804.0	17804.0	17804.0	17804.0	17804.0	17804.0
54_TASK01_CON07_5.0_pos	pos	5.0	15171.0	15171.0	15171.0	15171.0	15171.0	15171.0	15171.0	15171.0	15171.0	15171.0	15171.0	15171.0	15171.0	15171.0	15171.0	15171.0	15171.0	15171.0	15171.0	15171.0	15171.0	15171.0	15171.0	15171.0	15171.0	15171.0	15171.0	15171.0	15171.0	15171.0	15171.0	15171.0	15171.0	15171.0	15171.0	15171.0	15171.0	15171.0	15171.0	15171.0	15171.0	15171.0	15171.0	15171.0	15171.0	15171.0	15171.0
54_TASK01_CON07_6.0_posneg	posneg	6.0	8382.0	8382.0	8382.0	8382.0	8382.0	8382.0	8382.0	8382.0	8382.0	8382.0	8382.0	8382.0	8382.0	8382.0	8382.0	8382.0	8382.0	8382.0	8382.0	8382.0	8382.0	8382.0	8382.0	8382.0	8382.0	8382.0	8382.0	8382.0	8382.0	8382.0	8382.0	8382.0	8382.0	8382.0	8382.0	8382.0	8382.0	8382.0	8382.0	8382.0	8382.0	8382.0	8382.0	8382.0	8382.0	8382.0	8382.0
54_TASK01_CON07_6.0_pos	pos	6.0	7922.0	7922.0	7922.0	7922.0	7922.0	7922.0	7922.0	7922.0	7922.0	7922.0	7922.0	7922.0	7922.0	7922.0	7922.0	7922.0	7922.0	7922.0	7922.0	7922.0	7922.0	7922.0	7922.0	7922.0	7922.0	7922.0	7922.0	7922.0	7922.0	7922.0	7922.0	7922.0	7922.0	7922.0	7922.0	7922.0	7922.0	7922.0	7922.0	7922.0	7922.0	7922.0	7922.0	7922.0	7922.0	7922.0	7922.0
54_TASK01_CON07_7.0_posneg	posneg	7.0	2572.0	2572.0	2572.0	2572.0	2572.0	2572.0	2572.0	2572.0	2572.0	2572.0	2572.0	2572.0	2572.0	2572.0	2572.0	2572.0	2572.0	2572.0	2572.0	2572.0	2572.0	2572.0	2572.0	2572.0	2572.0	2572.0	2572.0	2572.0	2572.0	2572.0	2572.0	2572.0	2572.0	2572.0	2572.0	2572.0	2572.0	2572.0	2572.0	2572.0	2572.0	2572.0	2572.0	2572.0	2572.0	2572.0	2572.0
54_TASK01_CON07_7.0_pos	pos	7.0	2539.0	2539.0	2539.0	2539.0	2539.0	2539.0	2539.0	2539.0	2539.0	2539.0	2539.0	2539.0	2539.0	2539.0	2539.0	2539.0	2539.0	2539.0	2539.0	2539.0	2539.0	2539.0	2539.0	2539.0	2539.0	2539.0	2539.0	2539.0	2539.0	2539.0	2539.0	2539.0	2539.0	2539.0	2539.0	2539.0	2539.0	2539.0	2539.0	2539.0	2539.0	2539.0	2539.0	2539.0	2539.0	2539.0	2539.0
54_TASK01_CON07_8.0_posneg	posneg	8.0	304.0	304.0	304.0	304.0	304.0	304.0	304.0	304.0	304.0	304.0	304.0	304.0	304.0	304.0	304.0	304.0	304.0	304.0	304.0	304.0	304.0	304.0	304.0	304.0	304.0	304.0	304.0	304.0	304.0	304.0	304.0	304.0	304.0	304.0	304.0	304.0	304.0	304.0	304.0	304.0	304.0	304.0	304.0	304.0	304.0	304.0	304.0
54_TASK01_CON07_8.0_pos	pos	8.0	304.0	304.0	304.0	304.0	304.0	304.0	304.0	304.0	304.0	304.0	304.0	304.0	304.0	304.0	304.0	304.0	304.0	304.0	304.0	304.0	304.0	304.0	304.0	304.0	304.0	304.0	304.0	304.0	304.0	304.0	304.0	304.0	304.0	304.0	304.0	304.0	304.0	304.0	304.0	304.0	304.0	304.0	304.0	304.0	304.0	304.0	304.0
54_TASK01_CON07_9.0_posneg	posneg	9.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
54_TASK01_CON07_9.0_pos	pos	9.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
54_TASK01_CON07_10.0_posneg	posneg	10.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
54_TASK01_CON07_10.0_pos	pos	10.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
54_TASK01_CON07_11.0_posneg	posneg	11.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
54_TASK01_CON07_11.0_pos	pos	11.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
54_TASK01_CON07_12.0_posneg	posneg	12.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
54_TASK01_CON07_12.0_pos	pos	12.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
