	direction	thresh	54_TASK01_CON07	54_TASK01_CON08	54_TASK01_CON09	54_TASK02_CON25	54_TASK02_CON26	54_TASK02_CON27	54_TASK03_CON19	54_TASK03_CON20	54_TASK03_CON22	54_TASK04_CON61	54_TASK04_CON62	54_TASK04_CON63	54_TASK04_CON64	54_TASK04_CON65	54_TASK04_CON66	54_TASK04_CON67	54_TASK04_CON68	54_TASK04_CON69	54_TASK04_CON70	54_TASK04_CON71	54_TASK04_CON72	54_TASK04_CON73	54_TASK05_CON13	54_TASK05_CON14	54_TASK05_CON15	54_TASK06_CON01	54_TASK06_CON02	54_TASK06_CON06	54_TASK07_CON31	54_TASK07_CON32	54_TASK07_CON33	54_TASK07_CON34	54_TASK07_CON35	54_TASK07_CON36	54_TASK07_CON37	54_TASK07_CON38	54_TASK07_CON39	54_TASK07_CON40	54_TASK07_CON41	54_TASK07_CON45	54_TASK07_CON46	54_TASK07_CON47	54_TASK07_CON48	54_TASK07_CON49	54_TASK07_CON50	54_TASK07_CON51	54_TASK07_CON52
54_TASK01_CON07_0.0_posneg	posneg	0.0	0.858246668471	0.77157885001	0.336862532877	0.682673214427	0.695266333872	-0.228125864907	0.40621411135	0.237986518551	-0.184976499547	0.388272369637	0.0395990079888	0.174133179362	0.0487828131938	0.201909934733	0.0537888598933	0.0920438765001	0.361324847979	-0.0972325503076	0.0782013199055	-0.146940787288	0.151164893959	0.0357226042875	0.701541257105	0.684774713971	-0.142953717084	0.534251035682	0.560110239727	0.282655261444	0.651792954862	0.508721768799	0.555775991373	0.674927778856	0.687232802946	0.627782747566	0.574269460654	0.638853954278	0.634375417264	0.682704845592	0.138455370131	0.691046055119	0.581689444259	0.576141789101	0.678369990551	0.137518295934	-0.393612401012	-0.0198452705413	0.309147855808
54_TASK01_CON07_0.0_pos	pos	0.0	0.804415973977	0.711881659045	0.342764302101	0.648123953629	0.663143083323	-0.257835065509	0.308667424604	0.137921426845	-0.174704354483	0.405845115018	-0.00217197034352	0.128627285885	0.00472213201326	0.134919480035	0.0142114271495	0.0419697752887	0.393296097298	-0.0987795198162	0.088437563995	-0.137153901443	0.133261522852	0.0232871021636	0.672976464113	0.65306324331	-0.103333299454	0.522892969827	0.535284995707	0.243690719217	0.616922978519	0.485645066733	0.537800252364	0.63906356833	0.646974662449	0.584264935091	0.554043117468	0.613848393928	0.60326695389	0.646143595231	0.108465560187	0.651206253899	0.549256616007	0.556012526649	0.644493303591	0.0922845179511	-0.384591061302	0.0219990465966	0.288441208956
54_TASK01_CON07_1.0_posneg	posneg	1.0	0.851784177736	0.766363439526	0.336907831786	0.680245019699	0.692321185116	-0.228171848404	0.401387731171	0.2378609116	-0.179114386046	0.385913539053	0.0351139690658	0.170174040635	0.0441937377248	0.198398796454	0.0506402614459	0.0874578552486	0.360183290506	-0.0981911251202	0.0803870689333	-0.148056681094	0.153632154617	0.0340032992792	0.69781133192	0.681718578431	-0.143917607048	0.531696017707	0.557528135603	0.282906307605	0.649294767414	0.507897734089	0.554647960459	0.672168358014	0.685890785792	0.627009973723	0.574397878229	0.638068941304	0.631875770767	0.680763682682	0.133366210268	0.68832383914	0.580118592042	0.575299105104	0.675925529477	0.134112079109	-0.394453903594	-0.0166604255585	0.309115494959
54_TASK01_CON07_1.0_pos	pos	1.0	0.757525357803	0.663575702512	0.351322145056	0.625916297858	0.640781750239	-0.27819640754	0.232429899309	0.0747406008705	-0.150449561084	0.41617861687	-0.0413840375634	0.0874898094004	-0.0348665201666	0.0841424691291	-0.01863199916	-0.00233946621361	0.416175458382	-0.103173994133	0.0993252642881	-0.133182875531	0.130003661919	0.0117391201993	0.650535414401	0.630672589307	-0.0823627147646	0.515193428412	0.519379582301	0.223836458959	0.592745041405	0.473771361964	0.526558568205	0.614535439358	0.624343492853	0.55997730733	0.545640857816	0.60151929639	0.581256016585	0.622714525615	0.0747535276735	0.62398408769	0.529563561832	0.544311761741	0.621814888065	0.056070642135	-0.382959207951	0.0533595708144	0.279237729644
54_TASK01_CON07_2.0_posneg	posneg	2.0	0.809264720704	0.733137403159	0.33232219833	0.658872345433	0.666733857375	-0.221785008035	0.372353686483	0.233712883699	-0.147168814403	0.377803659458	0.0173338505745	0.148271840364	0.0247393092565	0.176245093989	0.0386542732802	0.0675645592121	0.356372806123	-0.0960586021967	0.0857327244648	-0.149794758356	0.153189428183	0.0290569979973	0.671157410287	0.658231924256	-0.145701737776	0.516354728662	0.541239547769	0.280372865251	0.627060614533	0.495694940002	0.535339958598	0.650350325358	0.667647724379	0.612753222038	0.561299938413	0.621564083166	0.609164516055	0.658213638744	0.105707897471	0.664287912141	0.563376649046	0.556385980072	0.653146566239	0.118004047523	-0.387336614964	-0.011163000179	0.308237899053
54_TASK01_CON07_2.0_pos	pos	2.0	0.694925907658	0.61208608336	0.347461512658	0.591341679662	0.601579946281	-0.28295525188	0.166530314916	0.0336767197142	-0.111536006142	0.410454930568	-0.0823271197248	0.0453716497072	-0.0819513808063	0.0273777313352	-0.0541369803509	-0.0501643834102	0.422145418099	-0.100573434378	0.118251968632	-0.137060331533	0.124720288838	-0.00247937119722	0.612197770623	0.595576095103	-0.0727222342955	0.492319074941	0.490121083397	0.204973896792	0.559123262873	0.453541987333	0.503169291495	0.580283657326	0.590619359196	0.531263026467	0.52938709545	0.577790189758	0.548265518796	0.588032727219	0.0296622949698	0.58546031477	0.501083734286	0.521171703913	0.587689454918	0.015187928805	-0.378662165829	0.0838039252901	0.274564965662
54_TASK01_CON07_3.0_posneg	posneg	3.0	0.715503442808	0.656455780603	0.32349313791	0.603968913509	0.60691204942	-0.209167067205	0.298740146936	0.203166562171	-0.0927427798034	0.358799855118	-0.0175192425763	0.101183175174	-0.0137939490294	0.120162190133	0.00608001874434	0.0207843558825	0.347076326281	-0.0820533965229	0.0985314205798	-0.135746860733	0.141040914339	0.0126243136051	0.608725010677	0.599421374789	-0.143013726567	0.47829038402	0.500379640392	0.26808748633	0.572236555808	0.459756657524	0.490477885271	0.595882010068	0.615349488066	0.566884699948	0.523351876377	0.576129973046	0.555152772757	0.601247938201	0.0501297426412	0.605031189575	0.517870280634	0.510807764893	0.597085897303	0.0799922288165	-0.364381557574	0.00328695903551	0.297962757838
54_TASK01_CON07_3.0_pos	pos	3.0	0.613564592167	0.552023918847	0.333348661709	0.537960734673	0.543727070315	-0.271314186008	0.111835016925	0.0168944536185	-0.0638237268514	0.38591759529	-0.116045230821	0.00745805588668	-0.123523217775	-0.0241163154657	-0.0882901712024	-0.0946167708231	0.405677112196	-0.0888800581989	0.139254016563	-0.131814847049	0.116793098535	-0.0222739990085	0.552220644343	0.539644112648	-0.0757638787879	0.451659425827	0.444023401155	0.188679622915	0.508072084432	0.417467143961	0.460971382435	0.529619464949	0.540299422384	0.489513136508	0.492476765739	0.53259576199	0.498137983831	0.534673623112	-0.0247833701253	0.530220954821	0.457428962775	0.478041135973	0.534907825215	-0.0211229112099	-0.360575701592	0.101818306106	0.267775716214
54_TASK01_CON07_4.0_posneg	posneg	4.0	0.590880190095	0.551488379627	0.306165653217	0.522450668065	0.52318664415	-0.19681700551	0.190681436994	0.144614781432	-0.0324422037948	0.32551773106	-0.0613224059629	0.0496743024491	-0.0646963460891	0.0494671814637	-0.0383967367743	-0.0360300115271	0.326349798833	-0.0703938475398	0.118367007338	-0.120272090272	0.124756122779	-0.0124509593045	0.522097499377	0.516737086369	-0.129219002463	0.423189123247	0.435866425127	0.232897777917	0.496148152681	0.409599042711	0.433269792336	0.516860062495	0.531646390592	0.496522830794	0.466408405131	0.506444431565	0.482894392142	0.519146915377	-0.017618194544	0.52009268281	0.454042268966	0.450185665898	0.51713758021	0.0243664827449	-0.327394343963	0.035954814357	0.274659482157
54_TASK01_CON07_4.0_pos	pos	4.0	0.52241198857	0.48248250272	0.311328052028	0.47289244806	0.476041710977	-0.244984265294	0.0611746689372	0.0140009177206	-0.0123801086619	0.343628277438	-0.134376428457	-0.0142326350137	-0.147055144677	-0.0535615787057	-0.112943335552	-0.121384297935	0.366812176599	-0.0758261241206	0.153411142057	-0.121314185081	0.112118869921	-0.0446481224194	0.480727352969	0.473147100656	-0.0794493468563	0.404633533526	0.392760608286	0.169016155114	0.449526619466	0.378920635611	0.414433458316	0.469548672931	0.477155300687	0.442805400836	0.444477109789	0.474396636958	0.442521028323	0.472399381217	-0.0778765983995	0.466254189134	0.411393165559	0.428511630414	0.472796984562	-0.0559834325061	-0.32375504201	0.114466337569	0.254242125466
54_TASK01_CON07_5.0_posneg	posneg	5.0	0.456377533622	0.433768267265	0.273431426004	0.421956633436	0.421730637277	-0.177529318111	0.081134499448	0.0845773164078	0.0184032417183	0.28750284382	-0.0917736726509	0.00591287027143	-0.0995457710538	-0.0046915759001	-0.0723430602301	-0.0765311598687	0.297044857078	-0.0589886066578	0.119005308932	-0.101924632757	0.113084756238	-0.0347700515733	0.421166186386	0.417793787149	-0.0983257407129	0.354670719926	0.352052198458	0.172940239712	0.402963209606	0.347269247752	0.365779885391	0.420154813539	0.425875819243	0.407010792766	0.389058624462	0.416490129068	0.396283387459	0.418758048989	-0.0775548453963	0.416993471088	0.376265750719	0.37601583093	0.419928020924	-0.0369861531315	-0.269576161205	0.0660442869558	0.243111652243
