	direction	thresh	95_TASK01_CON07	95_TASK01_CON08	95_TASK01_CON09	95_TASK02_CON25	95_TASK02_CON26	95_TASK02_CON27	95_TASK03_CON19	95_TASK03_CON20	95_TASK03_CON22	95_TASK04_CON61	95_TASK04_CON62	95_TASK04_CON63	95_TASK04_CON64	95_TASK04_CON65	95_TASK04_CON66	95_TASK04_CON67	95_TASK04_CON68	95_TASK04_CON69	95_TASK04_CON70	95_TASK04_CON71	95_TASK04_CON72	95_TASK04_CON73	95_TASK05_CON13	95_TASK05_CON14	95_TASK05_CON15	95_TASK06_CON01	95_TASK06_CON02	95_TASK06_CON06	95_TASK07_CON31	95_TASK07_CON32	95_TASK07_CON33	95_TASK07_CON34	95_TASK07_CON35	95_TASK07_CON36	95_TASK07_CON37	95_TASK07_CON38	95_TASK07_CON39	95_TASK07_CON40	95_TASK07_CON41	95_TASK07_CON45	95_TASK07_CON46	95_TASK07_CON47	95_TASK07_CON48	95_TASK07_CON49	95_TASK07_CON50	95_TASK07_CON51	95_TASK07_CON52
95_TASK01_CON07_0.0_posneg	posneg	0.0	0.848958493742	0.757964458981	0.400211106264	0.681195017793	0.687340031012	-0.0254525227975	0.383943982853	0.233294229989	-0.199025584549	0.439448490671	0.134436398006	0.227390238387	0.172109658916	0.224110569249	0.15295750518	0.188264099317	0.384744820105	-0.0528819600115	-0.00268608071519	-0.0278472963476	0.045613996758	0.0767147705144	0.717883944249	0.684096478596	-0.12081236768	0.586307967694	0.583560559311	0.260127345848	0.657430896939	0.588765927983	0.571756660808	0.666506550158	0.702377252883	0.630361033242	0.639879564728	0.68213870819	0.660332428792	0.720587626767	0.130311069983	0.701832532583	0.637901701499	0.616984540241	0.698646908304	0.101572819023	-0.330401062805	0.0482160665336	0.180193340901
95_TASK01_CON07_0.0_pos	pos	0.0	0.799575614306	0.662295533676	0.387582390872	0.637867233919	0.640886075835	-0.1226346436	0.052028281418	-0.0537828082676	-0.0619561226212	0.459170506493	-0.0541939349252	0.0294437366099	-0.0598365752114	-0.0257997575799	-0.0770989583063	-0.0631867176653	0.475371492116	-0.0163428362591	0.0997687060487	-0.0306988634302	0.0600878926676	-0.0352293062286	0.666411293839	0.638562224746	-0.0884474304629	0.54645551929	0.525368574545	0.20159778754	0.597887733301	0.533504228508	0.553486909079	0.614078128486	0.657559727532	0.543232582867	0.613147857701	0.660390967617	0.604187760338	0.65900856869	-0.0355821161202	0.640327330754	0.554126216232	0.589396513086	0.650982730822	-0.0126219793914	-0.382144628503	0.162604500094	0.195560266853
95_TASK01_CON07_1.0_posneg	posneg	1.0	0.916492273589	0.840406467308	0.482285025827	0.776626792456	0.780895969238	-0.0341446798989	0.442339874499	0.304816891338	-0.204118607018	0.514874212431	0.153025932179	0.252052861813	0.192089487733	0.251290068219	0.168200847971	0.206700498453	0.461181394483	-0.0538954586979	0.00952042779771	-0.0315622251762	0.0657992484536	0.076645866338	0.80445925723	0.776275344833	-0.167944389408	0.680921413619	0.677605900212	0.307832915335	0.754710696937	0.681577033302	0.666694915821	0.766753163874	0.803420462517	0.732415686386	0.740050281132	0.783211410757	0.754118362694	0.812264724682	0.125544936121	0.795450088655	0.729998886955	0.711284377489	0.794370647345	0.101347149692	-0.408970570751	0.0649439004559	0.240256541368
95_TASK01_CON07_1.0_pos	pos	1.0	0.817001274514	0.661030596517	0.400147794322	0.634391662331	0.634662963389	-0.142048595238	-0.039794759608	-0.0710720390587	0.0326190076997	0.420009094756	-0.10970708232	-0.0243212030213	-0.126969665507	-0.0934988095546	-0.140999892049	-0.136287043171	0.455755665226	-0.00788918770366	0.160224552301	-0.0364906699065	0.0742217881791	-0.0808161660991	0.648544263971	0.633479816964	-0.138306017932	0.527365286174	0.493956793512	0.173272123881	0.594895578446	0.521765467098	0.549978243555	0.625572102401	0.669350904173	0.551807465464	0.621458371768	0.673851758152	0.59847574274	0.65884064968	-0.130353433512	0.63700761203	0.541708148725	0.585068985833	0.657754714262	-0.0714240191052	-0.396764691681	0.187969737346	0.234617640758
95_TASK01_CON07_2.0_posneg	posneg	2.0	0.929359940646	0.861166869489	0.551948269171	0.818577569169	0.817035585368	-0.0348677369789	0.455490487803	0.384434233774	-0.15765045165	0.560613672539	0.161292260042	0.245023495523	0.195350469699	0.254810274926	0.172458988652	0.204679790902	0.518684445865	-0.0421610393909	0.025025931696	-0.0323775222835	0.0844738593256	0.067681075932	0.828443334456	0.814155445054	-0.236936092626	0.727818900136	0.719489369746	0.341372800704	0.801542701145	0.729713413523	0.723531781333	0.817956092703	0.849247021976	0.788771263976	0.791578500749	0.834056995559	0.797884028844	0.844192501966	0.0863434393249	0.832735865119	0.76993485755	0.760030315774	0.836141365237	0.0707678837478	-0.477960371894	0.0927526947103	0.30543232842
95_TASK01_CON07_2.0_pos	pos	2.0	0.821455597344	0.6450559413	0.389180763282	0.605059682298	0.596914867603	-0.128937041799	-0.137713745762	-0.0502821625502	0.151324351206	0.355209093961	-0.135621522266	-0.0630667385996	-0.166038107971	-0.138253063203	-0.163196372787	-0.170973487034	0.405399251591	-0.00537768110476	0.193917313432	-0.0474421967313	0.0622259427119	-0.0988300872502	0.598983738783	0.599097246085	-0.189320594153	0.4829405878	0.439897731366	0.140141254486	0.572161343765	0.482570527412	0.520516139487	0.614600308469	0.659534859935	0.549674382928	0.599488812305	0.66294704083	0.571223532051	0.63485976293	-0.23165317383	0.612713975965	0.506481209526	0.551849746857	0.640952358911	-0.134461086986	-0.378442915818	0.203951662867	0.254704065874
95_TASK01_CON07_3.0_posneg	posneg	3.0	0.916881045228	0.837954449988	0.566115590271	0.798470963477	0.794319647526	-0.0316475640359	0.395796608489	0.430485045204	-0.0517341595658	0.562957672818	0.173248714662	0.220885969663	0.190423120086	0.253932183683	0.173948033877	0.199641910553	0.528065493045	-0.0227100232336	0.0293578850053	-0.0462212581376	0.0941855366189	0.057116191267	0.788860976041	0.785968388026	-0.301012613049	0.713878866311	0.692471114496	0.340817410247	0.790259463259	0.721754809975	0.722154430131	0.814150294123	0.836198681469	0.789436731365	0.78283222189	0.8293376408	0.787245968307	0.823172206666	0.0114271146951	0.813756186701	0.754573175407	0.748775596418	0.824324493309	0.00396552162776	-0.486383025508	0.11693564724	0.348862369073
95_TASK01_CON07_3.0_pos	pos	3.0	0.821349725631	0.640091285536	0.335951952369	0.572233468067	0.564577476074	-0.118812468693	-0.197017914772	-0.00592749482676	0.241393028381	0.31034909942	-0.0980373819482	-0.0411781791967	-0.137997008424	-0.0943594059059	-0.120137208209	-0.124290952421	0.336923710851	-0.0122837442193	0.170112344796	-0.0868983769627	0.0605969719698	-0.080672539176	0.5430037008	0.548839779678	-0.196962189572	0.446577063041	0.387522563814	0.105257710894	0.558246463615	0.457296417028	0.489633848993	0.611069519317	0.645883936815	0.560156081795	0.572316024799	0.649097362805	0.556852163662	0.617242726308	-0.297932042426	0.595921088427	0.490373651193	0.515937009836	0.628435653493	-0.18665596846	-0.305723462071	0.19045635395	0.250830663245
95_TASK01_CON07_4.0_posneg	posneg	4.0	0.865676730577	0.748623387019	0.49313805469	0.706081316728	0.705896038669	-0.0324661328382	0.251538608728	0.394783119797	0.0826182614273	0.471562000687	0.173009500258	0.163822681547	0.162964959069	0.23152084506	0.158546847468	0.183082801721	0.440061675183	0.0103740091938	-0.010011182659	-0.0663200399228	0.0927684971924	0.0503926000463	0.677843551996	0.682512721231	-0.314468391743	0.615006377988	0.575279488616	0.282118982426	0.707784273218	0.64745034398	0.644094595337	0.74468412789	0.755571203208	0.719426585148	0.693305823785	0.750187732509	0.713836957821	0.7415806994	-0.0825798659489	0.730528813262	0.674259434989	0.660921366245	0.748059044697	-0.0843133394353	-0.3722724529	0.120270401912	0.320382547118
95_TASK01_CON07_4.0_pos	pos	4.0	0.779712574151	0.584843995828	0.2776896284	0.517980013251	0.518443093568	-0.0980098293287	-0.182664137865	0.0693284615394	0.262911320418	0.236869829054	-0.0241671818058	-0.00886342234686	-0.071967147602	-0.00957218548522	-0.0429027070867	-0.0351589812661	0.231650336515	0.00190408167783	0.06924500236	-0.107103021646	0.0724239598407	-0.0414678701333	0.469854160726	0.480389548304	-0.188311468331	0.387975795106	0.317106395473	0.0730783348339	0.521591726597	0.437974650944	0.445697178959	0.581866711417	0.59725454993	0.541333554337	0.507198526777	0.592032710556	0.532980676301	0.574718934465	-0.291421740113	0.556128790109	0.469557162623	0.461748337316	0.586813689897	-0.211145328252	-0.173347807456	0.15659492592	0.189677151002
