actual	predicted	count	x	y	strategy	metric	direction	threshold
TASK01_CON07	TASK01_CON07	21	1	1	cca	spearman	posneg	9
TASK01_CON07	TASK01_CON08	22	1	2	cca	spearman	posneg	9
TASK01_CON07	TASK01_CON09	20	1	3	cca	spearman	posneg	9
TASK01_CON07	TASK02_CON25	18	1	4	cca	spearman	posneg	9
TASK01_CON07	TASK02_CON26	19	1	5	cca	spearman	posneg	9
TASK01_CON07	TASK02_CON27	0	1	6	cca	spearman	posneg	9
TASK01_CON07	TASK03_CON19	6	1	7	cca	spearman	posneg	9
TASK01_CON07	TASK03_CON20	3	1	8	cca	spearman	posneg	9
TASK01_CON07	TASK03_CON22	11	1	9	cca	spearman	posneg	9
TASK01_CON07	TASK04_CON61	24	1	10	cca	spearman	posneg	9
TASK01_CON07	TASK04_CON62	18	1	11	cca	spearman	posneg	9
TASK01_CON07	TASK04_CON63	14	1	12	cca	spearman	posneg	9
TASK01_CON07	TASK04_CON64	17	1	13	cca	spearman	posneg	9
TASK01_CON07	TASK04_CON65	13	1	14	cca	spearman	posneg	9
TASK01_CON07	TASK04_CON66	2	1	15	cca	spearman	posneg	9
TASK01_CON07	TASK04_CON67	2	1	16	cca	spearman	posneg	9
TASK01_CON07	TASK04_CON68	19	1	17	cca	spearman	posneg	9
TASK01_CON07	TASK04_CON69	16	1	18	cca	spearman	posneg	9
TASK01_CON07	TASK04_CON70	17	1	19	cca	spearman	posneg	9
TASK01_CON07	TASK04_CON71	15	1	20	cca	spearman	posneg	9
TASK01_CON07	TASK04_CON72	44	1	21	cca	spearman	posneg	9
TASK01_CON07	TASK04_CON73	2	1	22	cca	spearman	posneg	9
TASK01_CON07	TASK05_CON13	2	1	23	cca	spearman	posneg	9
TASK01_CON07	TASK05_CON14	0	1	24	cca	spearman	posneg	9
TASK01_CON07	TASK05_CON15	0	1	25	cca	spearman	posneg	9
TASK01_CON07	TASK06_CON01	18	1	26	cca	spearman	posneg	9
TASK01_CON07	TASK06_CON02	1	1	27	cca	spearman	posneg	9
TASK01_CON07	TASK06_CON06	0	1	28	cca	spearman	posneg	9
TASK01_CON07	TASK07_CON31	14	1	29	cca	spearman	posneg	9
TASK01_CON07	TASK07_CON32	15	1	30	cca	spearman	posneg	9
TASK01_CON07	TASK07_CON33	6	1	31	cca	spearman	posneg	9
TASK01_CON07	TASK07_CON34	17	1	32	cca	spearman	posneg	9
TASK01_CON07	TASK07_CON35	13	1	33	cca	spearman	posneg	9
TASK01_CON07	TASK07_CON36	17	1	34	cca	spearman	posneg	9
TASK01_CON07	TASK07_CON37	6	1	35	cca	spearman	posneg	9
TASK01_CON07	TASK07_CON38	12	1	36	cca	spearman	posneg	9
TASK01_CON07	TASK07_CON39	1	1	37	cca	spearman	posneg	9
TASK01_CON07	TASK07_CON40	2	1	38	cca	spearman	posneg	9
TASK01_CON07	TASK07_CON41	0	1	39	cca	spearman	posneg	9
TASK01_CON07	TASK07_CON45	8	1	40	cca	spearman	posneg	9
TASK01_CON07	TASK07_CON46	16	1	41	cca	spearman	posneg	9
TASK01_CON07	TASK07_CON47	2	1	42	cca	spearman	posneg	9
TASK01_CON07	TASK07_CON48	5	1	43	cca	spearman	posneg	9
TASK01_CON07	TASK07_CON49	0	1	44	cca	spearman	posneg	9
TASK01_CON07	TASK07_CON50	12	1	45	cca	spearman	posneg	9
TASK01_CON07	TASK07_CON51	10	1	46	cca	spearman	posneg	9
TASK01_CON07	TASK07_CON52	0	1	47	cca	spearman	posneg	9
TASK01_CON08	TASK01_CON07	20	2	1	cca	spearman	posneg	9
TASK01_CON08	TASK01_CON08	10	2	2	cca	spearman	posneg	9
TASK01_CON08	TASK01_CON09	18	2	3	cca	spearman	posneg	9
TASK01_CON08	TASK02_CON25	15	2	4	cca	spearman	posneg	9
TASK01_CON08	TASK02_CON26	16	2	5	cca	spearman	posneg	9
TASK01_CON08	TASK02_CON27	0	2	6	cca	spearman	posneg	9
TASK01_CON08	TASK03_CON19	9	2	7	cca	spearman	posneg	9
TASK01_CON08	TASK03_CON20	4	2	8	cca	spearman	posneg	9
TASK01_CON08	TASK03_CON22	8	2	9	cca	spearman	posneg	9
TASK01_CON08	TASK04_CON61	20	2	10	cca	spearman	posneg	9
TASK01_CON08	TASK04_CON62	20	2	11	cca	spearman	posneg	9
TASK01_CON08	TASK04_CON63	19	2	12	cca	spearman	posneg	9
TASK01_CON08	TASK04_CON64	18	2	13	cca	spearman	posneg	9
TASK01_CON08	TASK04_CON65	13	2	14	cca	spearman	posneg	9
TASK01_CON08	TASK04_CON66	1	2	15	cca	spearman	posneg	9
TASK01_CON08	TASK04_CON67	4	2	16	cca	spearman	posneg	9
TASK01_CON08	TASK04_CON68	18	2	17	cca	spearman	posneg	9
TASK01_CON08	TASK04_CON69	15	2	18	cca	spearman	posneg	9
TASK01_CON08	TASK04_CON70	9	2	19	cca	spearman	posneg	9
TASK01_CON08	TASK04_CON71	10	2	20	cca	spearman	posneg	9
TASK01_CON08	TASK04_CON72	43	2	21	cca	spearman	posneg	9
TASK01_CON08	TASK04_CON73	1	2	22	cca	spearman	posneg	9
TASK01_CON08	TASK05_CON13	6	2	23	cca	spearman	posneg	9
TASK01_CON08	TASK05_CON14	3	2	24	cca	spearman	posneg	9
TASK01_CON08	TASK05_CON15	0	2	25	cca	spearman	posneg	9
TASK01_CON08	TASK06_CON01	19	2	26	cca	spearman	posneg	9
TASK01_CON08	TASK06_CON02	1	2	27	cca	spearman	posneg	9
TASK01_CON08	TASK06_CON06	0	2	28	cca	spearman	posneg	9
TASK01_CON08	TASK07_CON31	12	2	29	cca	spearman	posneg	9
TASK01_CON08	TASK07_CON32	17	2	30	cca	spearman	posneg	9
TASK01_CON08	TASK07_CON33	7	2	31	cca	spearman	posneg	9
TASK01_CON08	TASK07_CON34	25	2	32	cca	spearman	posneg	9
TASK01_CON08	TASK07_CON35	12	2	33	cca	spearman	posneg	9
TASK01_CON08	TASK07_CON36	16	2	34	cca	spearman	posneg	9
TASK01_CON08	TASK07_CON37	11	2	35	cca	spearman	posneg	9
TASK01_CON08	TASK07_CON38	11	2	36	cca	spearman	posneg	9
TASK01_CON08	TASK07_CON39	1	2	37	cca	spearman	posneg	9
TASK01_CON08	TASK07_CON40	1	2	38	cca	spearman	posneg	9
TASK01_CON08	TASK07_CON41	0	2	39	cca	spearman	posneg	9
TASK01_CON08	TASK07_CON45	10	2	40	cca	spearman	posneg	9
TASK01_CON08	TASK07_CON46	14	2	41	cca	spearman	posneg	9
TASK01_CON08	TASK07_CON47	2	2	42	cca	spearman	posneg	9
TASK01_CON08	TASK07_CON48	5	2	43	cca	spearman	posneg	9
TASK01_CON08	TASK07_CON49	0	2	44	cca	spearman	posneg	9
TASK01_CON08	TASK07_CON50	15	2	45	cca	spearman	posneg	9
TASK01_CON08	TASK07_CON51	21	2	46	cca	spearman	posneg	9
TASK01_CON08	TASK07_CON52	0	2	47	cca	spearman	posneg	9
TASK01_CON09	TASK01_CON07	20	3	1	cca	spearman	posneg	9
TASK01_CON09	TASK01_CON08	12	3	2	cca	spearman	posneg	9
TASK01_CON09	TASK01_CON09	23	3	3	cca	spearman	posneg	9
TASK01_CON09	TASK02_CON25	18	3	4	cca	spearman	posneg	9
TASK01_CON09	TASK02_CON26	15	3	5	cca	spearman	posneg	9
TASK01_CON09	TASK02_CON27	0	3	6	cca	spearman	posneg	9
TASK01_CON09	TASK03_CON19	11	3	7	cca	spearman	posneg	9
TASK01_CON09	TASK03_CON20	3	3	8	cca	spearman	posneg	9
TASK01_CON09	TASK03_CON22	30	3	9	cca	spearman	posneg	9
TASK01_CON09	TASK04_CON61	22	3	10	cca	spearman	posneg	9
TASK01_CON09	TASK04_CON62	17	3	11	cca	spearman	posneg	9
TASK01_CON09	TASK04_CON63	7	3	12	cca	spearman	posneg	9
TASK01_CON09	TASK04_CON64	16	3	13	cca	spearman	posneg	9
TASK01_CON09	TASK04_CON65	13	3	14	cca	spearman	posneg	9
TASK01_CON09	TASK04_CON66	4	3	15	cca	spearman	posneg	9
TASK01_CON09	TASK04_CON67	1	3	16	cca	spearman	posneg	9
TASK01_CON09	TASK04_CON68	17	3	17	cca	spearman	posneg	9
TASK01_CON09	TASK04_CON69	11	3	18	cca	spearman	posneg	9
TASK01_CON09	TASK04_CON70	18	3	19	cca	spearman	posneg	9
TASK01_CON09	TASK04_CON71	12	3	20	cca	spearman	posneg	9
TASK01_CON09	TASK04_CON72	3	3	21	cca	spearman	posneg	9
TASK01_CON09	TASK04_CON73	4	3	22	cca	spearman	posneg	9
TASK01_CON09	TASK05_CON13	3	3	23	cca	spearman	posneg	9
TASK01_CON09	TASK05_CON14	2	3	24	cca	spearman	posneg	9
TASK01_CON09	TASK05_CON15	0	3	25	cca	spearman	posneg	9
TASK01_CON09	TASK06_CON01	18	3	26	cca	spearman	posneg	9
TASK01_CON09	TASK06_CON02	5	3	27	cca	spearman	posneg	9
TASK01_CON09	TASK06_CON06	0	3	28	cca	spearman	posneg	9
TASK01_CON09	TASK07_CON31	26	3	29	cca	spearman	posneg	9
TASK01_CON09	TASK07_CON32	23	3	30	cca	spearman	posneg	9
TASK01_CON09	TASK07_CON33	5	3	31	cca	spearman	posneg	9
TASK01_CON09	TASK07_CON34	18	3	32	cca	spearman	posneg	9
TASK01_CON09	TASK07_CON35	26	3	33	cca	spearman	posneg	9
TASK01_CON09	TASK07_CON36	12	3	34	cca	spearman	posneg	9
TASK01_CON09	TASK07_CON37	4	3	35	cca	spearman	posneg	9
TASK01_CON09	TASK07_CON38	19	3	36	cca	spearman	posneg	9
TASK01_CON09	TASK07_CON39	1	3	37	cca	spearman	posneg	9
TASK01_CON09	TASK07_CON40	2	3	38	cca	spearman	posneg	9
TASK01_CON09	TASK07_CON41	0	3	39	cca	spearman	posneg	9
TASK01_CON09	TASK07_CON45	7	3	40	cca	spearman	posneg	9
TASK01_CON09	TASK07_CON46	12	3	41	cca	spearman	posneg	9
TASK01_CON09	TASK07_CON47	3	3	42	cca	spearman	posneg	9
TASK01_CON09	TASK07_CON48	6	3	43	cca	spearman	posneg	9
TASK01_CON09	TASK07_CON49	0	3	44	cca	spearman	posneg	9
TASK01_CON09	TASK07_CON50	12	3	45	cca	spearman	posneg	9
TASK01_CON09	TASK07_CON51	19	3	46	cca	spearman	posneg	9
TASK01_CON09	TASK07_CON52	0	3	47	cca	spearman	posneg	9
TASK02_CON25	TASK01_CON07	23	4	1	cca	spearman	posneg	9
TASK02_CON25	TASK01_CON08	15	4	2	cca	spearman	posneg	9
TASK02_CON25	TASK01_CON09	20	4	3	cca	spearman	posneg	9
TASK02_CON25	TASK02_CON25	24	4	4	cca	spearman	posneg	9
TASK02_CON25	TASK02_CON26	18	4	5	cca	spearman	posneg	9
TASK02_CON25	TASK02_CON27	0	4	6	cca	spearman	posneg	9
TASK02_CON25	TASK03_CON19	8	4	7	cca	spearman	posneg	9
