actual	predicted	count	x	y	strategy	metric	direction	threshold
TASK01_CON07	TASK01_CON07	0	1	1	svi	spearman	posneg	5
TASK01_CON07	TASK01_CON08	0	1	2	svi	spearman	posneg	5
TASK01_CON07	TASK01_CON09	0	1	3	svi	spearman	posneg	5
TASK01_CON07	TASK02_CON25	0	1	4	svi	spearman	posneg	5
TASK01_CON07	TASK02_CON26	0	1	5	svi	spearman	posneg	5
TASK01_CON07	TASK02_CON27	0	1	6	svi	spearman	posneg	5
TASK01_CON07	TASK03_CON19	0	1	7	svi	spearman	posneg	5
TASK01_CON07	TASK03_CON20	0	1	8	svi	spearman	posneg	5
TASK01_CON07	TASK03_CON22	0	1	9	svi	spearman	posneg	5
TASK01_CON07	TASK04_CON61	0	1	10	svi	spearman	posneg	5
TASK01_CON07	TASK04_CON62	0	1	11	svi	spearman	posneg	5
TASK01_CON07	TASK04_CON63	0	1	12	svi	spearman	posneg	5
TASK01_CON07	TASK04_CON64	0	1	13	svi	spearman	posneg	5
TASK01_CON07	TASK04_CON65	0	1	14	svi	spearman	posneg	5
TASK01_CON07	TASK04_CON66	0	1	15	svi	spearman	posneg	5
TASK01_CON07	TASK04_CON67	0	1	16	svi	spearman	posneg	5
TASK01_CON07	TASK04_CON68	0	1	17	svi	spearman	posneg	5
TASK01_CON07	TASK04_CON69	0	1	18	svi	spearman	posneg	5
TASK01_CON07	TASK04_CON70	0	1	19	svi	spearman	posneg	5
TASK01_CON07	TASK04_CON71	0	1	20	svi	spearman	posneg	5
TASK01_CON07	TASK04_CON72	0	1	21	svi	spearman	posneg	5
TASK01_CON07	TASK04_CON73	0	1	22	svi	spearman	posneg	5
TASK01_CON07	TASK05_CON13	416	1	23	svi	spearman	posneg	5
TASK01_CON07	TASK05_CON14	84	1	24	svi	spearman	posneg	5
TASK01_CON07	TASK05_CON15	0	1	25	svi	spearman	posneg	5
TASK01_CON07	TASK06_CON01	0	1	26	svi	spearman	posneg	5
TASK01_CON07	TASK06_CON02	0	1	27	svi	spearman	posneg	5
TASK01_CON07	TASK06_CON06	0	1	28	svi	spearman	posneg	5
TASK01_CON07	TASK07_CON31	0	1	29	svi	spearman	posneg	5
TASK01_CON07	TASK07_CON32	0	1	30	svi	spearman	posneg	5
TASK01_CON07	TASK07_CON33	0	1	31	svi	spearman	posneg	5
TASK01_CON07	TASK07_CON34	0	1	32	svi	spearman	posneg	5
TASK01_CON07	TASK07_CON35	0	1	33	svi	spearman	posneg	5
TASK01_CON07	TASK07_CON36	0	1	34	svi	spearman	posneg	5
TASK01_CON07	TASK07_CON37	0	1	35	svi	spearman	posneg	5
TASK01_CON07	TASK07_CON38	0	1	36	svi	spearman	posneg	5
TASK01_CON07	TASK07_CON39	0	1	37	svi	spearman	posneg	5
TASK01_CON07	TASK07_CON40	0	1	38	svi	spearman	posneg	5
TASK01_CON07	TASK07_CON41	0	1	39	svi	spearman	posneg	5
TASK01_CON07	TASK07_CON45	0	1	40	svi	spearman	posneg	5
TASK01_CON07	TASK07_CON46	0	1	41	svi	spearman	posneg	5
TASK01_CON07	TASK07_CON47	0	1	42	svi	spearman	posneg	5
TASK01_CON07	TASK07_CON48	0	1	43	svi	spearman	posneg	5
TASK01_CON07	TASK07_CON49	0	1	44	svi	spearman	posneg	5
TASK01_CON07	TASK07_CON50	0	1	45	svi	spearman	posneg	5
TASK01_CON07	TASK07_CON51	0	1	46	svi	spearman	posneg	5
TASK01_CON07	TASK07_CON52	0	1	47	svi	spearman	posneg	5
TASK01_CON08	TASK01_CON07	0	2	1	svi	spearman	posneg	5
TASK01_CON08	TASK01_CON08	0	2	2	svi	spearman	posneg	5
TASK01_CON08	TASK01_CON09	0	2	3	svi	spearman	posneg	5
TASK01_CON08	TASK02_CON25	0	2	4	svi	spearman	posneg	5
TASK01_CON08	TASK02_CON26	86	2	5	svi	spearman	posneg	5
TASK01_CON08	TASK02_CON27	0	2	6	svi	spearman	posneg	5
TASK01_CON08	TASK03_CON19	0	2	7	svi	spearman	posneg	5
TASK01_CON08	TASK03_CON20	0	2	8	svi	spearman	posneg	5
TASK01_CON08	TASK03_CON22	0	2	9	svi	spearman	posneg	5
TASK01_CON08	TASK04_CON61	0	2	10	svi	spearman	posneg	5
TASK01_CON08	TASK04_CON62	0	2	11	svi	spearman	posneg	5
TASK01_CON08	TASK04_CON63	0	2	12	svi	spearman	posneg	5
TASK01_CON08	TASK04_CON64	0	2	13	svi	spearman	posneg	5
TASK01_CON08	TASK04_CON65	0	2	14	svi	spearman	posneg	5
TASK01_CON08	TASK04_CON66	0	2	15	svi	spearman	posneg	5
TASK01_CON08	TASK04_CON67	0	2	16	svi	spearman	posneg	5
TASK01_CON08	TASK04_CON68	0	2	17	svi	spearman	posneg	5
TASK01_CON08	TASK04_CON69	0	2	18	svi	spearman	posneg	5
TASK01_CON08	TASK04_CON70	0	2	19	svi	spearman	posneg	5
TASK01_CON08	TASK04_CON71	0	2	20	svi	spearman	posneg	5
TASK01_CON08	TASK04_CON72	0	2	21	svi	spearman	posneg	5
TASK01_CON08	TASK04_CON73	0	2	22	svi	spearman	posneg	5
TASK01_CON08	TASK05_CON13	331	2	23	svi	spearman	posneg	5
TASK01_CON08	TASK05_CON14	83	2	24	svi	spearman	posneg	5
